h3_9,host_seed_tile_id,host_seed_index,host_tile_path_id,center_lat,center_lon
89194ada12bffff,88194ada13fffff,360,360,51.4620236028583,-0.19836547347449607
89194ada12fffff,88194ada13fffff,360,360,51.45951020848509,-0.19540416772129007
89194ada133ffff,88194ada13fffff,360,360,51.464971307460864,-0.192095715919613
89194ada137ffff,88194ada13fffff,360,360,51.4624578510435,-0.18913469217143436
89194ada13bffff,88194ada13fffff,360,360,51.46475421402911,-0.1967113414500417
89194ad03a3ffff,88194ad03bfffff,361,361,51.43721272112074,-0.04760234770491266
89194ad03a7ffff,88194ad03bfffff,361,361,51.43469692972691,-0.044652779792290744
89194ad03abffff,88194ad03bfffff,361,361,51.43700082653066,-0.052210547127039306
89194ad03afffff,88194ad03bfffff,361,361,51.43448509875304,-0.049260670288346804
89194ad03b3ffff,88194ad03bfffff,361,361,51.439940215343846,-0.04594389075408917
89194ad03b7ffff,88194ad03bfffff,361,361,51.43742442624395,-0.04299429737261863
89194ad03bbffff,88194ad03bfffff,361,361,51.43972844660412,-0.050552250048213995
89194e68b43ffff,88194e68b5fffff,362,362,51.52063987576221,0.03910843983022526
89194e68b47ffff,88194e68b5fffff,362,362,51.5181236481028,0.04205628652798117
89194e68b4bffff,88194e68b5fffff,362,362,51.52043327420418,0.0344966449725133
89194e68b4fffff,88194e68b5fffff,362,362,51.51791710998814,0.03744480182647971
89194e68b53ffff,88194e68b5fffff,362,362,51.523362513051836,0.040772212632443995
89194e68b57ffff,88194e68b5fffff,362,362,51.52084628789767,0.04372008419611822
89194e68b5bffff,88194e68b5fffff,362,362,51.523156037472745,0.03616025807450348
89194e69d83ffff,88194e69d9fffff,363,363,51.55941029355822,0.017930500904223778
89194e69d87ffff,88194e69d9fffff,363,363,51.55689473971916,0.02088182553615813
89194e69d8bffff,88194e69d9fffff,363,363,51.55920368621567,0.013314803265020525
89194e69d8fffff,88194e69d9fffff,363,363,51.55668819605134,0.01626643839537104
89194e69d93ffff,88194e69d9fffff,363,363,51.562132262457894,0.019594698385675485
89194e69d97ffff,88194e69d9fffff,363,363,51.5596167112332,0.022546048082942916
89194e69d9bffff,88194e69d9fffff,363,363,51.56192578110791,0.014978840672642489
89194ad0363ffff,88194ad037fffff,364,364,51.4336358800356,-0.06769372232007084
89194ad0367ffff,88194ad037fffff,364,364,51.43112034095442,-0.06474294444383911
89194ad036bffff,88194ad037fffff,364,364,51.43342310155585,-0.07230235757787395
89194ad036fffff,88194ad037fffff,364,364,51.43090762618117,-0.06935127089030818
89194ad0373ffff,88194ad037fffff,364,364,51.436364005769356,-0.06603603940826902
89194ad0377ffff,88194ad037fffff,364,364,51.4338484689762,-0.06308523590979633
89194ad037bffff,88194ad037fffff,364,364,51.436151353121964,-0.07064483466564503
89194ad2103ffff,88194ad211fffff,365,365,51.48040924051387,0.0279953149347256
89194ad2107ffff,88194ad211fffff,365,365,51.477892785947326,0.03094185839572188
89194ad210bffff,88194ad211fffff,365,365,51.48020131771749,0.02338636537875589
89194ad210fffff,88194ad211fffff,365,365,51.47768492652219,0.02633321851765352
89194ad2113ffff,88194ad211fffff,365,365,51.48313342616748,0.02965754595557315
